,accident_type,day_of_week,dca_code,road_geometry,light_condition,speed_zone,severity,node_type,deg_urban_name,road_type,month,hour
261,1,4,132,2,1,50.0,0,I,MELB_URBAN,ROAD,1,16.0
262,4,4,173,5,1,60.0,0,N,MELB_URBAN,ROAD,1,13.0
263,4,4,171,2,1,60.0,0,I,RURAL_VICTORIA,ROAD,1,19.0
264,1,4,113,1,1,100.0,1,I,RURAL_VICTORIA,ROAD,1,15.0
265,1,5,135,5,2,100.0,0,N,MELB_URBAN,FREEWAY,1,6.0
266,1,4,120,2,1,60.0,0,I,MELB_URBAN,ROAD,1,12.0
267,4,4,173,5,1,100.0,0,N,RURAL_VICTORIA,HIGHWAY,1,16.0
268,6,6,99,5,1,100.0,0,N,RURAL_VICTORIA,HIGHWAY,1,7.0
269,4,5,183,5,1,100.0,0,N,RURAL_VICTORIA,ROAD,1,8.0
270,1,5,110,1,1,60.0,0,I,MELB_URBAN,STREET,1,10.0
271,1,5,121,2,1,60.0,0,I,MELB_URBAN,ROAD,1,10.0
272,1,5,140,1,1,50.0,0,I,MELB_URBAN,STREET,1,9.0
273,1,5,171,2,1,50.0,0,I,MELB_URBAN,STREET,1,10.0
274,1,5,163,2,1,60.0,0,I,MELB_URBAN,STREET,1,8.0
275,1,5,110,1,1,70.0,0,I,LARGE_PROVINCIAL_CITIES,ROAD,1,11.0
276,4,4,173,2,1,80.0,0,I,MELB_URBAN,ROAD,1,14.0
277,1,5,130,5,1,50.0,0,N,TOWNS,PARADE,1,13.0
278,1,5,130,2,1,60.0,0,I,MELB_URBAN,HIGHWAY,1,7.0
279,4,4,171,5,1,80.0,0,N,RURAL_VICTORIA,ROAD,1,10.0
280,2,5,102,2,1,60.0,0,I,MELB_URBAN,AVENUE,1,11.0
281,8,5,174,5,1,60.0,0,N,MELB_URBAN,OTHER,1,13.0
282,1,7,132,2,1,100.0,0,I,RURAL_VICTORIA,HIGHWAY,1,13.0
283,2,5,102,1,1,60.0,0,I,MELB_URBAN,ROAD,1,10.0
284,4,5,173,1,1,40.0,0,I,SMALL_CITIES,STREET,1,8.0
285,4,5,181,5,1,70.0,0,N,RURAL_VICTORIA,ROAD,1,13.0
286,1,4,110,4,1,60.0,0,I,MELB_URBAN,ROAD,1,13.0
287,1,5,99,2,1,60.0,0,I,MELB_URBAN,ROAD,1,13.0
288,4,5,171,5,1,100.0,0,N,RURAL_VICTORIA,ROAD,1,12.0
289,1,5,140,4,1,80.0,0,I,MELB_URBAN,UNKNOWN,1,14.0
290,1,5,120,5,1,50.0,0,N,MELB_URBAN,OTHER,1,14.0
291,4,5,183,5,1,100.0,0,N,RURAL_VICTORIA,ROAD,1,15.0
292,2,5,99,1,1,40.0,0,I,MELB_URBAN,STREET,1,16.0
293,1,5,120,1,1,60.0,0,I,MELB_URBAN,ROAD,1,12.0
294,1,5,113,2,1,80.0,0,I,MELB_URBAN,ROAD,1,17.0
295,1,5,99,2,1,50.0,0,I,MELB_URBAN,STREET,1,17.0
296,1,5,110,1,1,100.0,0,I,RURAL_VICTORIA,ROAD,1,17.0
297,1,5,99,2,1,60.0,0,I,MELB_URBAN,STREET,1,9.0
298,1,5,147,2,1,50.0,0,I,MELB_URBAN,STREET,1,16.0
299,4,5,171,5,2,40.0,0,N,RURAL_VICTORIA,ROAD,1,18.0
300,1,5,121,1,1,50.0,0,I,LARGE_PROVINCIAL_CITIES,STREET,1,19.0
301,2,5,99,5,3,50.0,0,N,MELB_URBAN,BOULEVARD,1,21.0
302,2,5,99,5,5,80.0,0,N,RURAL_VICTORIA,HIGHWAY,1,4.0
303,1,5,132,1,1,100.0,1,I,RURAL_VICTORIA,HIGHWAY,1,16.0
304,4,6,173,2,5,70.0,0,I,MELB_URBAN,AVENUE,1,0.0
305,4,6,173,5,5,100.0,0,N,RURAL_VICTORIA,ROAD,1,0.0
306,1,4,163,5,1,60.0,0,N,MELB_URBAN,STREET,1,17.0
307,1,6,130,5,1,60.0,0,N,MELB_URBAN,STREET,1,7.0
308,1,6,130,4,1,60.0,0,I,MELB_URBAN,ROAD,1,7.0
309,1,6,99,2,1,100.0,0,I,RURAL_VICTORIA,ROAD,1,7.0
310,2,6,100,1,1,60.0,0,I,MELB_URBAN,ROAD,1,9.0
311,2,6,100,2,1,60.0,0,I,MELB_URBAN,ROAD,1,9.0
312,1,6,135,5,1,80.0,0,N,MELB_URBAN,FREEWAY,1,8.0
313,1,6,116,2,1,50.0,0,I,MELB_URBAN,ROAD,1,7.0
314,6,6,174,2,1,60.0,0,I,MELB_URBAN,ROAD,1,12.0
315,5,6,99,5,2,100.0,0,N,MELB_URBAN,ROAD,1,6.0
316,1,2,130,2,1,70.0,0,I,MELB_URBAN,ROAD,1,13.0
317,1,5,110,1,1,80.0,0,I,RURAL_VICTORIA,HIGHWAY,1,18.0
318,1,2,121,2,1,60.0,0,I,LARGE_PROVINCIAL_CITIES,ROAD,1,17.0
319,6,6,99,5,1,60.0,0,N,MELB_URBAN,ROAD,1,9.0
320,4,6,171,5,1,100.0,0,N,RURAL_VICTORIA,ROAD,1,12.0
321,4,4,171,2,1,60.0,0,I,MELB_URBAN,STREET,1,8.0
322,1,6,113,2,1,80.0,0,I,MELB_URBAN,ROAD,1,15.0
323,1,6,130,5,1,80.0,0,N,MELB_URBAN,ROAD,1,14.0
324,1,5,130,5,1,100.0,0,N,RURAL_VICTORIA,OTHER,1,11.0
325,1,7,110,1,1,60.0,0,I,MELB_URBAN,ROAD,1,8.0
326,1,6,110,1,1,60.0,0,I,LARGE_PROVINCIAL_CITIES,STREET,1,16.0
327,1,4,130,1,1,60.0,0,I,MELB_URBAN,STREET,1,14.0
328,1,6,130,5,1,80.0,0,N,MELB_URBAN,ROAD,1,17.0
329,1,6,113,2,1,70.0,0,N,MELB_URBAN,ROAD,1,16.0
330,1,6,113,2,1,80.0,0,I,RURAL_VICTORIA,ROAD,1,16.0
331,4,6,183,5,1,80.0,1,N,RURAL_VICTORIA,ROAD,1,14.0
